"id"	"nameC"	"parentId"	"statusC"	"createDate"	"updateDate"
"21"	"á1"	"1"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"22"	"á2"	"1"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"23"	"âu1"	"2"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"24"	"âu2"	"2"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"25"	"phi1"	"3"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"26"	"phi2"	"3"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"27"	"mỹ1"	"4"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"28"	"mỹ2"	"4"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"29"	"dd1"	"5"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"30"	"dd2"	"5"	"1"	"3/12/2023 09:16:34"	"3/12/2023 09:16:34"
"31"	"Châu Á"		"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"32"	"Châu Âu"		"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"33"	"Châu Phi"		"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"34"	"Châu Mỹ"		"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"35"	"Châu Đại Dương"		"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"36"	"á1"	"1"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"37"	"á2"	"1"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"38"	"âu1"	"2"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"39"	"âu2"	"2"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"40"	"phi1"	"3"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"41"	"phi2"	"3"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"42"	"mỹ1"	"4"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"43"	"mỹ2"	"4"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"44"	"dd1"	"5"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"45"	"dd2"	"5"	"1"	"3/12/2023 09:31:23"	"3/12/2023 09:31:23"
"46"	"Châu Á"		"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"47"	"Châu Âu"		"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"48"	"Châu Phi"		"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"49"	"Châu Mỹ"		"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"50"	"Châu Đại Dương"		"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"51"	"á1"	"1"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"52"	"á2"	"1"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"53"	"âu1"	"2"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"54"	"âu2"	"2"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"55"	"phi1"	"3"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"56"	"phi2"	"3"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"57"	"mỹ1"	"4"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"58"	"mỹ2"	"4"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"59"	"dd1"	"5"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"60"	"dd2"	"5"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"61"	"Châu Á"		"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"62"	"Châu Âu"		"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"63"	"Châu Phi"		"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"64"	"Châu Mỹ"		"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"65"	"Châu Đại Dương"		"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"66"	"á1"	"1"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"67"	"á2"	"1"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"68"	"âu1"	"2"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"69"	"âu2"	"2"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"70"	"phi1"	"3"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"71"	"phi2"	"3"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"72"	"mỹ1"	"4"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"73"	"mỹ2"	"4"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"74"	"dd1"	"5"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"75"	"dd2"	"5"	"1"	"3/12/2023 09:37:52"	"3/12/2023 09:37:52"
"76"	"Châu Á"		"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"77"	"Châu Âu"		"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"78"	"Châu Phi"		"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"79"	"Châu Mỹ"		"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"80"	"Châu Đại Dương"		"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"81"	"á1"	"1"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"82"	"á2"	"1"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"83"	"âu1"	"2"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"84"	"âu2"	"2"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"85"	"phi1"	"3"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"86"	"phi2"	"3"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"87"	"mỹ1"	"4"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"88"	"mỹ2"	"4"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"89"	"dd1"	"5"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"90"	"dd2"	"5"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"91"	"Châu Á"		"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"92"	"Châu Âu"		"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"93"	"Châu Phi"		"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"94"	"Châu Mỹ"		"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"95"	"Châu Đại Dương"		"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"96"	"á1"	"1"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"97"	"á2"	"1"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"98"	"âu1"	"2"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"99"	"âu2"	"2"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"100"	"phi1"	"3"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"101"	"phi2"	"3"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"102"	"mỹ1"	"4"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"103"	"mỹ2"	"4"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"104"	"dd1"	"5"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"105"	"dd2"	"5"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
