"id"	"nameP"	"image"	"price"	"quantity"	"description"	"statusP"	"categoryId"	"createDate"	"updateDate"
"29"	"Product 9"	"image9.jpg"	"33.75"	"88"	"Description 9"	"1"	"3"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"30"	"Product 10"	"image10.jpg"	"19"	"115"	"Description 10"	"1"	"1"	"3/12/2023 09:31:58"	"3/12/2023 09:31:58"
"31"	"Product 1"	"image1.jpg"	"20.5"	"100"	"Description 1"	"1"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"32"	"Product 2"	"image2.jpg"	"30.75"	"80"	"Description 2"	"1"	"2"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"33"	"Product 3"	"image3.jpg"	"15.99"	"120"	"Description 3"	"1"	"3"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"34"	"Product 4"	"image4.jpg"	"25"	"90"	"Description 4"	"1"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"35"	"Product 5"	"image5.jpg"	"18.25"	"110"	"Description 5"	"1"	"2"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"36"	"Product 6"	"image6.jpg"	"22"	"95"	"Description 6"	"1"	"3"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"37"	"Product 7"	"image7.jpg"	"40.5"	"75"	"Description 7"	"1"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"38"	"Product 8"	"image8.jpg"	"28.99"	"105"	"Description 8"	"1"	"2"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"39"	"Product 9"	"image9.jpg"	"33.75"	"88"	"Description 9"	"1"	"3"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"40"	"Product 10"	"image10.jpg"	"19"	"115"	"Description 10"	"1"	"1"	"3/12/2023 09:38:14"	"3/12/2023 09:38:14"
"41"	"Product 1"	"image1.jpg"	"20.5"	"100"	"Description 1"	"1"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"42"	"Product 2"	"image2.jpg"	"30.75"	"80"	"Description 2"	"1"	"2"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"43"	"Product 3"	"image3.jpg"	"15.99"	"120"	"Description 3"	"1"	"3"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"44"	"Product 4"	"image4.jpg"	"25"	"90"	"Description 4"	"1"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"45"	"Product 5"	"image5.jpg"	"18.25"	"110"	"Description 5"	"1"	"2"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"46"	"Product 6"	"image6.jpg"	"22"	"95"	"Description 6"	"1"	"3"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"47"	"Product 7"	"image7.jpg"	"40.5"	"75"	"Description 7"	"1"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"48"	"Product 8"	"image8.jpg"	"28.99"	"105"	"Description 8"	"1"	"2"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"49"	"Product 9"	"image9.jpg"	"33.75"	"88"	"Description 9"	"1"	"3"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
"50"	"Product 10"	"image10.jpg"	"19"	"115"	"Description 10"	"1"	"1"	"3/12/2023 09:48:11"	"3/12/2023 09:48:11"
